Astronomija;1;Kazys;Artimiausia žvaigždė žemei?;Vega;Kanopus;Saulė;Sirijus;Saulė;2
Fizika;2;Linas;Kuris Niutono dėsnis teigia, kad dviejų kūnų sąveikos jėgos yra lygaus dydžio ir priešingų krypčių?;Antras;Pirmas;Pirmas ir trečias;Trečias;Trečias;3
Astronomija;3;Tomas;Kuri Saulės sistemos planeta yra pirmoji, atrasta teleskpu?;Marsas;Jupiteris;Saturnas;Uranas;Uranas;4
Menai;1;Kazys;Kurio "bitlo" tikrasis vardas - Ričardas Starkis?;Džono Lenono;Polo Makartnio;Ringo Staro;Džordžo Harisono;Ringo Staro;1
Pasaulis;3;Linas;Kuriame Lenkijos mieste 1473 metais gimė Mikalojus Kopernikas?;Plocke;Torunėje;Varšuvoje;Poznanėje;Plocke;2
Medicina;3;Petras;Kokia yra būtina hemoglobino norma, jei moteris nori tapti kraujo donore?;125 g/l;135 g/l;115 g/l;150 g/l;125 g/l;3
Pasaulis;2;Jonas;Leisdamiesi naktį į kelionę, kai kurie tropinės Afrikos gyventojai prie kojų prisiriša maišelius su vabzdžiais. Kam?;Saugumui;Dėl atbaidančio kvapo;Kelio pasišvietimui;Visi atsakymai teisingi;Kelio pasišvietimui;2
Gamta;1;Dalia;Kokio akmens vandenyje nėra?;Žalio;Kieto;Lengvo;Sauso;Sauso;1
Namai;2;Linas;Kas neloja, nekanda, į namus neįsileidžia?;Šuo;Katė;Durys;Langas;Durys;3
Gamta;2;Dalia;Kas vaikšto aukštyn kojom?;Šuo;Bebras;Musė ant lubų;Katė ant grindų;Musė ant lubų;2,5
Gyvenimas;1;Tomas;Kas gali visom kalbom kalbėti?;Tomas;Šuo;Žmogus;Aidas;Aidas;2
Gamta;2;Linas;Kas dega visą dieną, bet nesudega?;Žibalinė lempa;Lemputė;Saulė;Ugnis;Saulė;1,5
Gyvenimas;1;Dalia;Kas audžia be staklių?;Siuvimo mašina;Siuvėjas;Voras;Siuvėja;Voras;1,5
Pasaulis;1;Kazys;Kokiame Lietuvos mieste stovi Gedimino pilis?;Kaune;Alytuje;Vilniuje;Tytuvėnuose;Vilniuje;1
Gamta;1;Petras;Tvirčiausias lietuviškas medis?;Beržas;Ąžuolas;Gluosnis;Eglė;Ąžuolas;1
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;3;Petras;Kada įkurta Lietuvos bažnytinė provincija?;1926 m.;1939 m.;1916 m.;1929 m.;1926 m.;3
Švietėjai;3;Dalia;Kada mirė tautos dainius Maironis?;1841 m.;1941 m.;1932 m.;1938 m.;1932 m.;3
Lietuva;3;Jonas;Kada įvyko irmoji tautinė olimpiada Kaune?;1936 m.;1938 m.;1940 m.;1935 m.;1938 m.;4
Švietėjai;3;Jonas;1930 m. Lietuvoje įvestas privalomas:;Pradinis mokymas;Vidurinis mokymas;Aukštasis mokymas;Profesinis mokymas;Pradinis mokymas;3
Lietuva;3;Jonas;Kada pradėta Kauno hidroelektrinės statyba?;1920 m.;1911 m.;1925 m.;1955 m.;1955 m.;3
Lietuva;2;Dalia;Kada Lietuva atkūrė Nepriklausomybę?;1981 m.;1990 m.;1932 m.;1938 m.;1990 m.;2,5
Lietuva;2;Linas;Kas buvo antruoju Lietuvos prezidentu?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Valdas Adamkus;Valdas Adamkus;2
