Astronomija;1;Kazys;Artimiausia žvaigždė žemei?;Vega;Kanopus;Saulė;Sirijus;Saulė;2
Fizika;2;Linas;Kuris Niutono dėsnis teigia, kad dviejų kūnų sąveikos jėgos yra lygaus dydžio ir priešingų krypčių?;Antras;Pirmas;Pirmas ir trečias;Trečias;Trečias;3
Astronomija;3;Tomas;Kuri Saulės sistemos planeta yra pirmoji, atrasta teleskpu?;Marsas;Jupiteris;Saturnas;Uranas;Uranas;4
Menai;1;Kazys;Kurio "bitlo" tikrasis vardas - Ričardas Starkis?;Džono Lenono;Polo Makartnio;Ringo Staro;Džordžo Harisono;Ringo Staro;1
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;2;Tomas;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Petras;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
