FSA SHM
Pasaulis;1;Kazys;Kokiame Lietuvos mieste stovi Gedimino pilis?;Kaune;Alytuje;Vilniuje;Tytuvėnuose;Vilniuje;1
Gamta;1;Volkeris;Kokio akmens vandenyje nėra?;Žalio;Minkšto;Raudono;Sauso;Sauso;1
Lietuva;2;Jaunius;Pirmasis Lietuvos valstybės prezidentas?;Kazys Grinius;Antanas Smetona;Dalia Grybauskaitė;Mikalojus Kopernikas;Antanas Smetona;2
Lietuva;3;Linas;Kada susirinko Lietuvos Steigiamasis Seimas?;1920 m.;1911 m.;1925 m.;1931 m.;1920 m.;3
Lietuva;3;Dalia;Kada Kaune įkurtas Lietuvos universitetas?;1911 m.;1922 m.;1918 m.;1923 m;1922 m.;3,5
Lietuva;3;Dalia;Kada įkurta Lietuvos bažnytinė provincija?;1926 m.;1939 m.;1916 m.;1929 m.;1926 m.;3
Švietėjai;3;Jadvyga;Kada mirė tautos dainius Maironis?;1841 m.;1941 m.;1932 m.;1938 m.;1932 m.;3
Lietuva;3;Jadvyga;Kada įvyko irmoji tautinė olimpiada Kaune?;1936 m.;1938 m.;1940 m.;1935 m.;1938 m.;4
Švietėjai;3;Jadvyga;1930 m. Lietuvoje įvestas privalomas:;Pradinis mokymas;Vidurinis mokymas;Aukštasis mokymas;Profesinis mokymas;Pradinis mokymas;3
Lietuva;3;Kazys;Kada pradėta Kauno hidroelektrinės statyba?;1920 m.;1911 m.;1925 m.;1955 m.;1955 m.;3
Gamta;2;Jonas;Kas dega visą dieną, bet nesudega?;Žibalinė lempa;Žvakė;Saulė;Ugnis;Saulė;3
Astronomija;1;Kazys;Artimiausia žvaigždė žemei?;Tolimanas;Šaula;Saulė;Sirijus;Saulė;2
